ano,faixa,parada,parada_domicilio,parada_hospital,parada_sem_assist,parada_com_assist,parada_masc,autoimune,conectivo_m30_m36,miocardite,miocardite_masc,cancer,embolia,embolia_domicilio,maldef,todos_domicilio,total
2017,70+,6968.0,1446.0,4942.0,434.0,4143.0,2890.0,1135.0,326.0,38.0,13.0,96852.0,3816.0,1055.0,37882.0,152117.0,652894
2017,ign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,0.0,652.0,131.0,2967
2018,0-19,70.0,17.0,45.0,5.0,42.0,30.0,215.0,120.0,33.0,15.0,2552.0,49.0,8.0,2257.0,4855.0,68270
2018,20-29,78.0,23.0,43.0,9.0,44.0,50.0,289.0,209.0,10.0,5.0,2625.0,151.0,32.0,2138.0,6283.0,51952
2018,30-39,139.0,40.0,70.0,21.0,56.0,87.0,434.0,261.0,17.0,10.0,6975.0,377.0,74.0,3378.0,9365.0,61151
2018,40-49,316.0,73.0,168.0,46.0,152.0,190.0,600.0,307.0,10.0,7.0,16329.0,596.0,109.0,5438.0,15945.0,88826
2018,50-59,691.0,120.0,472.0,55.0,359.0,398.0,661.0,275.0,10.0,7.0,37953.0,830.0,174.0,8653.0,28074.0,154401
2018,60-69,1461.0,214.0,1051.0,81.0,796.0,865.0,747.0,281.0,7.0,4.0,56737.0,1118.0,256.0,11561.0,41148.0,229156
2018,70+,7082.0,1396.0,5053.0,357.0,4242.0,2992.0,1142.0,322.0,31.0,17.0,100558.0,3712.0,1045.0,36545.0,150917.0,660190
2018,ign,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,7.0,1.0,535.0,108.0,2773
2019,0-19,62.0,6.0,48.0,3.0,34.0,38.0,217.0,108.0,22.0,12.0,2538.0,51.0,3.0,2405.0,4730.0,65206
2019,20-29,79.0,18.0,44.0,8.0,40.0,53.0,308.0,201.0,4.0,2.0,2669.0,190.0,38.0,2379.0,6292.0,48862
2019,30-39,165.0,46.0,80.0,21.0,82.0,109.0,463.0,286.0,11.0,8.0,6895.0,399.0,64.0,3845.0,9410.0,59984
2019,40-49,353.0,67.0,206.0,38.0,178.0,213.0,566.0,296.0,14.0,11.0,16546.0,626.0,130.0,5858.0,15904.0,88957
2019,50-59,740.0,130.0,492.0,66.0,401.0,464.0,715.0,318.0,11.0,8.0,38210.0,894.0,213.0,9079.0,28434.0,155434
2019,60-69,1491.0,237.0,1081.0,86.0,847.0,898.0,766.0,278.0,19.0,13.0,59343.0,1268.0,270.0,12060.0,42476.0,236822
2019,70+,7488.0,1418.0,5378.0,354.0,4535.0,3071.0,1204.0,341.0,19.0,10.0,104815.0,3848.0,1046.0,38873.0,157264.0,692178
2019,ign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,1.0,473.0,118.0,2358
2020,0-19,63.0,14.0,37.0,8.0,29.0,33.0,166.0,92.0,32.0,20.0,2278.0,35.0,4.0,2246.0,4711.0,59129
2020,20-29,102.0,26.0,60.0,16.0,53.0,65.0,273.0,170.0,10.0,7.0,2528.0,157.0,20.0,2795.0,7166.0,52953
2020,30-39,210.0,64.0,103.0,36.0,95.0,127.0,412.0,252.0,15.0,11.0,6828.0,313.0,55.0,4480.0,11013.0,68164
2020,40-49,462.0,127.0,236.0,85.0,192.0,305.0,482.0,251.0,12.0,7.0,16325.0,493.0,83.0,7388.0,19154.0,106488
2020,50-59,962.0,253.0,528.0,156.0,450.0,638.0,588.0,273.0,14.0,8.0,36647.0,682.0,107.0,11406.0,34278.0,184102
2020,60-69,1669.0,402.0,1044.0,209.0,901.0,1000.0,728.0,259.0,9.0,5.0,57564.0,964.0,154.0,14964.0,51918.0,286190
2020,70+,7912.0,2207.0,4867.0,653.0,4460.0,3347.0,1138.0,318.0,28.0,8.0,102635.0,3006.0,738.0,46545.0,197195.0,797411
2020,ign,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,24.0,12.0,1.0,521.0,147.0,2387
2021,0-19,61.0,15.0,34.0,11.0,26.0,40.0,221.0,127.0,27.0,16.0,2411.0,51.0,6.0,2095.0,4775.0,59026
2021,20-29,124.0,34.0,64.0,22.0,57.0,91.0,280.0,183.0,16.0,9.0,2521.0,197.0,23.0,2568.0,7130.0,56836
2021,30-39,259.0,73.0,134.0,34.0,117.0,173.0,431.0,258.0,15.0,9.0,6803.0,390.0,72.0,4338.0,11389.0,85202
2021,40-49,548.0,162.0,269.0,97.0,259.0,357.0,495.0,236.0,21.0,12.0,16591.0,668.0,111.0,7544.0,20274.0,143975
2021,50-59,1084.0,320.0,544.0,168.0,503.0,742.0,592.0,246.0,22.0,18.0,36719.0,920.0,158.0,11717.0,35364.0,240690
2021,60-69,1970.0,516.0,1174.0,217.0,987.0,1179.0,711.0,254.0,17.0,8.0,59173.0,1215.0,233.0,15738.0,54386.0,350131
2021,70+,9235.0,2739.0,5466.0,846.0,5062.0,3987.0,1198.0,345.0,40.0,17.0,106522.0,3612.0,855.0,49485.0,203899.0,894412
2021,ign,5.0,2.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,24.0,11.0,1.0,649.0,157.0,2377
2022,0-19,71.0,14.0,47.0,13.0,32.0,43.0,235.0,110.0,27.0,12.0,2305.0,62.0,15.0,2070.0,4612.0,60298
2022,20-29,114.0,20.0,68.0,13.0,58.0,78.0,315.0,212.0,13.0,8.0,2723.0,195.0,41.0,2271.0,7210.0,51726
2022,30-39,224.0,60.0,109.0,58.0,87.0,153.0,394.0,205.0,16.0,8.0,6943.0,442.0,90.0,3846.0,10884.0,63694
2022,40-49,538.0,156.0,270.0,105.0,228.0,365.0,559.0,269.0,26.0,19.0,17254.0,807.0,175.0,6249.0,19278.0,100971
2022,50-59,1156.0,310.0,618.0,158.0,549.0,773.0,653.0,256.0,16.0,12.0,36794.0,994.0,234.0,9774.0,33488.0,167592
2022,60-69,2127.0,519.0,1283.0,212.0,1090.0,1342.0,799.0,260.0,22.0,13.0,61143.0,1438.0,312.0,13484.0,52272.0,269134
2022,70+,9945.0,2812.0,6124.0,794.0,5532.0,4247.0,1359.0,372.0,43.0,20.0,111444.0,4458.0,1226.0,44279.0,198282.0,828514
2022,ign,4.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,17.0,19.0,1.0,624.0,149.0,2337
2023,0-19,76.0,13.0,48.0,8.0,33.0,47.0,232.0,111.0,31.0,10.0,2309.0,74.0,11.0,1861.0,4193.0,58788
2023,20-29,106.0,30.0,45.0,23.0,44.0,78.0,304.0,211.0,10.0,6.0,2682.0,217.0,42.0,2068.0,7074.0,49653
2023,30-39,210.0,72.0,88.0,39.0,99.0,139.0,410.0,249.0,13.0,10.0,6974.0,460.0,89.0,3490.0,10406.0,61650
2023,40-49,504.0,151.0,257.0,81.0,232.0,324.0,560.0,280.0,21.0,13.0,17598.0,798.0,156.0,5892.0,18509.0,98609
2023,50-59,1094.0,307.0,577.0,186.0,511.0,719.0,682.0,260.0,18.0,14.0,37959.0,1106.0,271.0,8592.0,31069.0,160913
2023,60-69,2150.0,545.0,1238.0,213.0,1081.0,1285.0,843.0,310.0,24.0,14.0,64391.0,1570.0,396.0,11703.0,49217.0,259912
2023,70+,9646.0,2575.0,6132.0,777.0,5410.0,4092.0,1457.0,375.0,44.0,24.0,118016.0,4488.0,1287.0,37016.0,179346.0,774212
2023,ign,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,11.0,3.0,506.0,107.0,1873
2024,0-19,78.0,11.0,52.0,10.0,49.0,43.0,249.0,130.0,36.0,15.0,2254.0,64.0,10.0,1797.0,4149.0,56723
2024,20-29,91.0,24.0,38.0,12.0,36.0,65.0,323.0,217.0,17.0,9.0,2743.0,214.0,31.0,2081.0,6979.0,49689
2024,30-39,252.0,74.0,120.0,52.0,117.0,173.0,445.0,273.0,28.0,20.0,7060.0,503.0,116.0,3500.0,10657.0,63999
2024,40-49,540.0,186.0,242.0,93.0,240.0,364.0,621.0,302.0,34.0,25.0,18162.0,943.0,190.0,6023.0,19140.0,103148
2024,50-59,1196.0,350.0,617.0,188.0,535.0,792.0,752.0,305.0,25.0,17.0,37739.0,1190.0,269.0,8224.0,30831.0,164400
2024,60-69,2298.0,618.0,1350.0,235.0,1114.0,1415.0,902.0,294.0,18.0,10.0,66610.0,1748.0,430.0,11477.0,50072.0,271164
2024,70+,10459.0,2801.0,6522.0,724.0,5816.0,4482.0,1604.0,417.0,56.0,25.0,124497.0,4952.0,1406.0,35474.0,183054.0,821079
2024,ign,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,13.0,1.0,512.0,120.0,1813
