uf,ano,parada,r_codes,parada_inv,covid,total
43,2023,875.0,4107.0,875.0,861.0,93516
24,2021,177.0,857.0,177.0,4972.0,26771
24,2023,180.0,763.0,180.0,120.0,22302
43,2018,710.0,4310.0,710.0,0.0,88618
42,2020,350.0,1263.0,350.0,5313.0,46444
28,2024,140.0,976.0,140.0,40.0,14453
16,2017,16.0,240.0,16.0,0.0,3158
16,2019,10.0,250.0,10.0,0.0,3524
16,2022,16.0,200.0,16.0,146.0,3846
16,2024,39.0,158.0,39.0,9.0,3903
12,2017,19.0,139.0,19.0,0.0,3832
12,2019,13.0,311.0,13.0,0.0,4098
12,2022,54.0,323.0,54.0,167.0,4159
27,2017,45.0,820.0,45.0,0.0,20673
53,2024,244.0,254.0,244.0,85.0,15878
28,2017,33.0,923.0,33.0,0.0,13321
28,2019,74.0,1108.0,74.0,0.0,13473
28,2022,78.0,1100.0,78.0,439.0,14791
17,2024,72.0,178.0,72.0,42.0,9427
17,2019,72.0,252.0,72.0,0.0,8021
17,2017,48.0,120.0,48.0,0.0,8052
17,2022,83.0,229.0,83.0,358.0,9370
12,2021,21.0,580.0,21.0,1305.0,5496
52,2016,165.0,900.0,165.0,0.0,38074
21,2022,266.0,2214.0,266.0,971.0,39936
32,2020,149.0,358.0,149.0,4840.0,29111
21,2024,293.0,2295.0,293.0,52.0,40143
31,2018,1338.0,9446.0,1338.0,0.0,135619
31,2023,1560.0,10393.0,1560.0,1139.0,157603
50,2020,170.0,587.0,170.0,2244.0,19051
25,2020,239.0,1853.0,239.0,3523.0,31107
31,2021,1702.0,11304.0,1702.0,44501.0,190085
51,2016,73.0,1037.0,73.0,0.0,17535
26,2024,390.0,2160.0,390.0,119.0,70793
26,2017,174.0,2045.0,174.0,0.0,64364
26,2019,201.0,2046.0,201.0,0.0,64295
21,2017,89.0,1871.0,89.0,0.0,35275
21,2019,172.0,1712.0,172.0,0.0,35128
26,2022,438.0,3817.0,438.0,2250.0,72011
22,2024,212.0,974.0,212.0,52.0,23476
24,2017,68.0,649.0,68.0,0.0,21409
24,2019,126.0,675.0,126.0,0.0,21767
43,2017,414.0,4082.0,414.0,0.0,86241
14,2017,10.0,75.0,10.0,0.0,2461
14,2019,16.0,93.0,16.0,0.0,2779
14,2022,17.0,139.0,17.0,92.0,3246
14,2024,13.0,108.0,13.0,5.0,3055
43,2022,914.0,5084.0,914.0,4653.0,104096
43,2024,990.0,4274.0,990.0,434.0,101480
35,2016,1310.0,15012.0,1310.0,0.0,296359
35,2020,3109.0,17890.0,3109.0,47520.0,349635
27,2021,140.0,1496.0,140.0,4239.0,25090
27,2023,167.0,993.0,167.0,80.0,21965
53,2018,88.0,233.0,88.0,0.0,12157
53,2021,82.0,367.0,82.0,5859.0,19079
53,2023,165.0,308.0,165.0,142.0,14079
50,2016,66.0,411.0,66.0,0.0,16749
25,2016,112.0,1757.0,112.0,0.0,28041
32,2016,88.0,234.0,88.0,0.0,22868
52,2020,489.0,896.0,489.0,7616.0,48358
22,2017,52.0,874.0,52.0,0.0,19850
22,2019,120.0,897.0,120.0,0.0,20528
22,2022,195.0,1166.0,195.0,723.0,24343
24,2024,183.0,783.0,183.0,63.0,23527
43,2019,784.0,4228.0,784.0,0.0,89238
24,2022,199.0,834.0,199.0,975.0,24219
28,2023,86.0,979.0,86.0,45.0,14087
16,2018,7.0,218.0,7.0,0.0,3345
16,2021,6.0,237.0,6.0,1068.0,4750
16,2023,19.0,220.0,19.0,7.0,3926
12,2018,21.0,213.0,21.0,0.0,4094
27,2018,62.0,696.0,62.0,0.0,19411
12,2023,34.0,241.0,34.0,36.0,4189
51,2020,150.0,1299.0,150.0,4381.0,23397
28,2018,63.0,957.0,63.0,0.0,13024
28,2021,65.0,1149.0,65.0,3543.0,16675
17,2023,66.0,237.0,66.0,83.0,8912
17,2018,74.0,167.0,74.0,0.0,7795
17,2021,76.0,253.0,76.0,2702.0,11514
